
---------- Begin Simulation Statistics ----------
simSeconds                                   0.454202                       # Number of seconds simulated (Second)
simTicks                                 454202276633                       # Number of ticks simulated (Tick)
finalTick                                454202276633                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  11684.47                       # Real time elapsed on the host (Second)
hostTickRate                                 38872314                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2267564                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000002                       # Number of instructions simulated (Count)
simOps                                     1160112241                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    85584                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      99287                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                      14651686344                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              14.651683                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.068252                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1693239036                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     8712                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1553021163                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                3210899                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            533135453                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        1344450519                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                8173                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         14650503820                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.106005                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.637885                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0               14118064883     96.37%     96.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 148404859      1.01%     97.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 106148027      0.72%     98.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  82611979      0.56%     98.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 105802952      0.72%     99.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  41294595      0.28%     99.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  30027503      0.20%     99.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  10557664      0.07%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   7591358      0.05%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           14650503820                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2576151      4.52%      4.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      4.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      4.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      4.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      4.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      4.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      4.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      4.52% # attempts to use FU when none available (Count)
